component,feature,importance
has_noise,gradient_mean,0.25411595339145365
has_noise,high_frequency_energy,0.18357554292124958
has_noise,laplacian_variance,0.16223882962837627
has_noise,noise_mad_estimate,0.1389592719364485
has_noise,edge_density,0.06594243935591594
has_noise,gradient_std,0.03566363245464588
has_noise,green_std,0.032762311670452446
has_noise,dark_pixel_ratio,0.02732123458360322
has_noise,entropy,0.02214995630807897
has_noise,gray_std,0.02100698828370271
has_noise,intensity_range_90,0.01607097121678596
has_noise,bright_pixel_ratio,0.014300383749010881
has_noise,green_mean,0.01336771231576721
has_noise,gray_mean,0.012524772184508672
has_blur,laplacian_variance,0.3091475181027003
has_blur,high_frequency_energy,0.221591775789673
has_blur,gradient_mean,0.0999996723847243
has_blur,noise_mad_estimate,0.07078596834962664
has_blur,edge_density,0.05466330721203088
has_blur,green_std,0.04702139045440772
has_blur,gray_std,0.03694250161247909
has_blur,entropy,0.03569354244869771
has_blur,gradient_std,0.02972648229672439
has_blur,intensity_range_90,0.026455508426695872
has_blur,dark_pixel_ratio,0.02561580956437298
has_blur,gray_mean,0.015231591796657331
has_blur,bright_pixel_ratio,0.013634421449050037
has_blur,green_mean,0.01349051011215983
has_low_contrast,bright_pixel_ratio,0.227979456600718
has_low_contrast,gray_std,0.12847971738703345
has_low_contrast,entropy,0.12736483297331902
has_low_contrast,green_std,0.0830011212057873
has_low_contrast,gray_mean,0.07017927422175772
has_low_contrast,intensity_range_90,0.07008063209346635
has_low_contrast,green_mean,0.062461684748827
has_low_contrast,dark_pixel_ratio,0.04526465294634633
has_low_contrast,gradient_std,0.041435583986707575
has_low_contrast,edge_density,0.04091288289402129
has_low_contrast,gradient_mean,0.03387970684729122
has_low_contrast,laplacian_variance,0.028571887577374264
has_low_contrast,high_frequency_energy,0.025914704261659642
has_low_contrast,noise_mad_estimate,0.014473862255690735
