image_id,noise_sigma,h,strategy,dice
21_training,5,0.0,identity,0.7053400383141762
21_training,5,3.0,nlm_h3,0.6175570962479608
21_training,5,5.0,nlm_h5,0.5153290129611167
21_training,5,7.0,nlm_h7,0.4781536012733784
21_training,5,10.0,nlm_h10,0.3029644287134324
21_training,5,12.0,nlm_h12,0.2635051326733276
21_training,5,14.0,nlm_h14,0.2434634082249376
21_training,15,0.0,identity,0.3618053327889728
21_training,15,3.0,nlm_h3,0.3663671955897871
21_training,15,5.0,nlm_h5,0.5365026618290326
21_training,15,7.0,nlm_h7,0.5098161057925704
21_training,15,10.0,nlm_h10,0.3087622936933242
21_training,15,12.0,nlm_h12,0.2943010762028021
21_training,15,14.0,nlm_h14,0.24908406072838063
21_training,30,0.0,identity,0.2732059597876127
21_training,30,3.0,nlm_h3,0.2733810833468151
21_training,30,5.0,nlm_h5,0.27359150521719283
21_training,30,7.0,nlm_h7,0.2902838605028386
21_training,30,10.0,nlm_h10,0.33905929137194823
21_training,30,12.0,nlm_h12,0.29934940047299596
21_training,30,14.0,nlm_h14,0.26363747159233475
22_training,5,0.0,identity,0.6832608022724376
22_training,5,3.0,nlm_h3,0.5688553546895785
22_training,5,5.0,nlm_h5,0.5065133813594117
22_training,5,7.0,nlm_h7,0.45438980835435117
22_training,5,10.0,nlm_h10,0.362624975495001
22_training,5,12.0,nlm_h12,0.3240971330205084
22_training,5,14.0,nlm_h14,0.31158177083786914
22_training,15,0.0,identity,0.41623700327588664
22_training,15,3.0,nlm_h3,0.42527393833567134
22_training,15,5.0,nlm_h5,0.552347623213765
22_training,15,7.0,nlm_h7,0.49288170691121547
22_training,15,10.0,nlm_h10,0.40637002341920375
22_training,15,12.0,nlm_h12,0.327830806009737
22_training,15,14.0,nlm_h14,0.31197347960561167
22_training,30,0.0,identity,0.31252945438175694
22_training,30,3.0,nlm_h3,0.3134815648747537
22_training,30,5.0,nlm_h5,0.31381018036523256
22_training,30,7.0,nlm_h7,0.31921359144721834
22_training,30,10.0,nlm_h10,0.36615048890007973
22_training,30,12.0,nlm_h12,0.3389970080426011
22_training,30,14.0,nlm_h14,0.308200123310125
23_training,5,0.0,identity,0.4726175859821442
23_training,5,3.0,nlm_h3,0.5258868556848258
23_training,5,5.0,nlm_h5,0.47940910334378484
23_training,5,7.0,nlm_h7,0.4420763874235071
23_training,5,10.0,nlm_h10,0.2660838336386556
23_training,5,12.0,nlm_h12,0.24193939015148555
23_training,5,14.0,nlm_h14,0.21616635921516014
23_training,15,0.0,identity,0.3200216649096167
23_training,15,3.0,nlm_h3,0.32667717289393366
23_training,15,5.0,nlm_h5,0.49143710764524906
23_training,15,7.0,nlm_h7,0.4542770475227503
23_training,15,10.0,nlm_h10,0.2698542540746409
23_training,15,12.0,nlm_h12,0.26114557522924164
23_training,15,14.0,nlm_h14,0.22090087477010092
23_training,30,0.0,identity,0.25117330478977823
23_training,30,3.0,nlm_h3,0.25191424196018375
23_training,30,5.0,nlm_h5,0.25127978354232094
23_training,30,7.0,nlm_h7,0.2839665900949665
23_training,30,10.0,nlm_h10,0.36229234144812456
23_training,30,12.0,nlm_h12,0.29030926132375406
23_training,30,14.0,nlm_h14,0.24421656595251176
24_training,5,0.0,identity,0.6417253663018424
24_training,5,3.0,nlm_h3,0.5186314788568148
24_training,5,5.0,nlm_h5,0.426578882271231
24_training,5,7.0,nlm_h7,0.3594113701818756
24_training,5,10.0,nlm_h10,0.38484628266295934
24_training,5,12.0,nlm_h12,0.38496419683344274
24_training,5,14.0,nlm_h14,0.36764243938192753
24_training,15,0.0,identity,0.4985672801400027
24_training,15,3.0,nlm_h3,0.5362850637724088
24_training,15,5.0,nlm_h5,0.49580379105773403
24_training,15,7.0,nlm_h7,0.36009470940528066
24_training,15,10.0,nlm_h10,0.40206644989849305
24_training,15,12.0,nlm_h12,0.40217699059363893
24_training,15,14.0,nlm_h14,0.3782545805207329
24_training,30,0.0,identity,0.38552150369971366
24_training,30,3.0,nlm_h3,0.3861227429685128
24_training,30,5.0,nlm_h5,0.3859944294419545
24_training,30,7.0,nlm_h7,0.41906877208910215
24_training,30,10.0,nlm_h10,0.414789600736354
24_training,30,12.0,nlm_h12,0.4413489736070381
24_training,30,14.0,nlm_h14,0.4291214651785947
25_training,5,0.0,identity,0.4582862061717397
25_training,5,3.0,nlm_h3,0.4906511256807854
25_training,5,5.0,nlm_h5,0.3716539015697278
25_training,5,7.0,nlm_h7,0.3305747847743808
25_training,5,10.0,nlm_h10,0.3034777820902797
25_training,5,12.0,nlm_h12,0.2933651403545512
25_training,5,14.0,nlm_h14,0.28096481748318924
25_training,15,0.0,identity,0.3293059965400568
25_training,15,3.0,nlm_h3,0.3309293249460669
25_training,15,5.0,nlm_h5,0.38336026300796683
25_training,15,7.0,nlm_h7,0.34334120138536545
25_training,15,10.0,nlm_h10,0.3032664621985352
25_training,15,12.0,nlm_h12,0.2902542192566619
25_training,15,14.0,nlm_h14,0.2774928429956496
25_training,30,0.0,identity,0.29081842907772193
25_training,30,3.0,nlm_h3,0.2896425424102225
25_training,30,5.0,nlm_h5,0.28937769274181335
25_training,30,7.0,nlm_h7,0.2925276899555162
25_training,30,10.0,nlm_h10,0.30212759160463853
25_training,30,12.0,nlm_h12,0.29380848420696704
25_training,30,14.0,nlm_h14,0.2826863623179178
26_training,5,0.0,identity,0.43592399995976705
26_training,5,3.0,nlm_h3,0.6212057335581788
26_training,5,5.0,nlm_h5,0.5668889468390269
26_training,5,7.0,nlm_h7,0.37864038041592685
26_training,5,10.0,nlm_h10,0.34930815019662065
26_training,5,12.0,nlm_h12,0.285366831115349
26_training,5,14.0,nlm_h14,0.2759070460776746
26_training,15,0.0,identity,0.31330413653207945
26_training,15,3.0,nlm_h3,0.3120187097142205
26_training,15,5.0,nlm_h5,0.3242833127538345
26_training,15,7.0,nlm_h7,0.4234389066208364
26_training,15,10.0,nlm_h10,0.32272595175820984
26_training,15,12.0,nlm_h12,0.32520869259345053
26_training,15,14.0,nlm_h14,0.27790880503144655
26_training,30,0.0,identity,0.27702908798491527
26_training,30,3.0,nlm_h3,0.2784251314696928
26_training,30,5.0,nlm_h5,0.2784251314696928
26_training,30,7.0,nlm_h7,0.278309210891144
26_training,30,10.0,nlm_h10,0.27772586402780486
26_training,30,12.0,nlm_h12,0.3024426362512111
26_training,30,14.0,nlm_h14,0.2895765772797911
27_training,5,0.0,identity,0.6771772040776107
27_training,5,3.0,nlm_h3,0.5304669070191836
27_training,5,5.0,nlm_h5,0.44941316583107627
