noise_sigma,h,strategy,samples,dice_mean,dice_std
5,0.0,identity,20,0.6011691525698272,0.10673987061841024
5,3.0,nlm_h3,20,0.5873862184447661,0.04465366441842892
5,5.0,nlm_h5,20,0.5033235119289858,0.059328522678922704
5,7.0,nlm_h7,20,0.43484870981275436,0.06079616719609289
5,10.0,nlm_h10,20,0.3637729262787305,0.06766485010819218
5,12.0,nlm_h12,20,0.3285371533083011,0.059614479893032556
5,14.0,nlm_h14,20,0.30212522506481215,0.0480276982293465
15,0.0,identity,20,0.37706097043174663,0.0582553909937341
15,3.0,nlm_h3,20,0.38059811224737417,0.06252965393766005
15,5.0,nlm_h5,20,0.48530991807534835,0.08986931999657302
15,7.0,nlm_h7,20,0.46825871374961164,0.06458204388265149
15,10.0,nlm_h10,20,0.3835956307480999,0.06733458200020838
15,12.0,nlm_h12,20,0.34603715702935567,0.0616669591522618
15,14.0,nlm_h14,20,0.3108301758574906,0.05494793504205136
30,0.0,identity,20,0.2984623842893708,0.0358203220456006
30,3.0,nlm_h3,20,0.2986467379767622,0.036108898515922
30,5.0,nlm_h5,20,0.2986622215742947,0.03622767986327925
30,7.0,nlm_h7,20,0.30666597338807317,0.03876150703522292
30,10.0,nlm_h10,20,0.33866001787773703,0.0469349913206444
30,12.0,nlm_h12,20,0.3401268536853536,0.05188047893959783
30,14.0,nlm_h14,20,0.31691840185980175,0.05288865675675279
